Datum,Start,Einde,Plaats,Omschrijving,Opmerkingen
07/03/20,13:30,16:30,Extern,Exploring the data,
18/03/20,13:30,20:30,Extern,Exploring and analyzing the data,
19/03/20,20:30,23:50,Extern,Learn about Data Cleaning and NLP,
20/03/20,13:00,23:59,Extern,Data Cleaning + EDA + SVM (with & without rbf kernel) + RandomForest,
21/03/20,00:00,02:40,Extern,Running supervised algos & writing documentation+explanation in notebook,
21/03/20,11:00,19:10,Extern,Running supervised algos & writing documentation+explanation in notebook,Data cleaning & lemmatization script
21/03/20,19:30,23:59,Extern,Running supervised algos & writing documentation+explanation in notebook,Data cleaning & lemmatization
22/03/20,00:01,00:40,Extern,Running supervised algos & writing documentation+explanation in notebook,Data cleaning & lemmatization
23/03/20,11:30,13:00,Extern,information + writing + documentation,
23/03/20,13:20,18:40,Extern,introduction + writing + documentation,
25/03/20,14:00,23:55,Extern,information + writing + documentation + runs RF with additional columns,
17/04/20,10:30,20:25,Extern,information + writing + documentation + Word2Vec + Doc2Vec research & algo research,
18/04/20,12:30,23:00,Extern,information + writing + Doc2Vec,
20/04/20,18:45,23:00,Extern,information + writing + Doc2Vec + kmeans,
21/04/20,19:00,23:15,Extern,information + writing + Doc2Vec + kmeans + LDA,
22/04/20,10:15,23:59,Extern,LDA + writing,
22/04/20,10:15,23:59,Extern,LDA + writing,
21/05/20,14:15,17:00,Extern,data cleaning + LDA,
22/05/20,16:00,19:00,Extern,LDA,
24/05/20,13:00,22:00,Extern,LDA + visualisation,
25/05/20,13:00,17:00,Extern,LDA + visualisation + writing in main notebook, analysis
26/05/20,14:00,20:00,Extern,LDA + visualisation + writing in main notebook, analysis
27/05/20,13:00,13:50,Extern,finalisation lda, 
08/06/20,13:00,15:30,Extern,BERT research, 
09/06/20,13:00,16:30,Extern,BERT research,
10/06/20,14:00,19:30,Extern,BERT,
11/06/20,13:10,18:30,Extern,BERT,
11/06/20,19:15,23:59,Extern,BERT runs,
12/06/20,00:01,02:05,Extern,BERT runs,
12/06/20,11:35,12:55,Extern,BERT runs,
12/06/20,13:15,18:30,Extern,BERT runs,
12/06/20,19:00,23:59,Extern,BERT runs,
13/06/20,13:30,18:30,Extern,BERT runs,
13/06/20,19:00,23:59,Extern,BERT runs,
14/06/20,11:00,13:00,Extern,BERT runs,
14/06/20,13:45,19:50,Extern,final presentation + BERT runs,
14/06/20,20:25,21:35,Extern,final presentation + BERT runs,
15/06/20,01:05,01:20,Extern,final presentation - minor adjustments,
